,City,Country,City ID,Latitude,Longditude,Cloudiness,Humidity,Current Temperature,Max Temp,Min Temp,Avg Temp,Wind Speed
0,Port Hardy,CA,6111862,50.7,-127.42,5,41,4.0,4.0,4.0,4.0,6.2
1,Lebu,CL,3883457,-37.62,-73.65,0,87,14.35,14.35,14.35,14.35,12.31
2,Camapua,BR,3468020,-19.53,-54.04,36,68,28.37,28.37,28.37,28.37,4.66
3,Punta Arenas,CL,3874787,-53.16,-70.91,90,87,9.65,10.0,9.0,9.5,8.7
4,Srednekolymsk,RU,2121025,67.46,153.71,48,33,-30.31,-30.31,-30.31,-30.31,1.16
5,Carnarvon,AU,2074865,-24.87,113.63,0,78,24.0,24.0,24.0,24.0,8.2
6,Batagay,RU,2027044,67.65,134.64,0,0,-40.91,-40.91,-40.91,-40.91,1.31
7,Torbay,CA,6167817,47.66,-52.73,92,75,-3.89,-3.33,-4.44,-3.8850000000000002,8.49
8,Ponta do Sol,CV,3374346,17.2,-25.09,0,60,23.0,23.0,23.0,23.0,7.7
9,Saint-Philippe,RE,935215,-21.36,55.77,0,74,24.45,27.0,19.44,23.22,2.6
10,Guatire,VE,3639898,10.47,-66.54,40,74,26.41,28.0,24.44,26.22,2.1
11,Hermanus,ZA,3366880,-34.42,19.24,8,89,19.69,20.0,19.44,19.72,1.51
12,Horta,PT,2743292,40.42,-8.49,0,76,12.55,14.44,7.22,10.83,1.0
13,Hithadhoo,MV,1282256,-0.6,73.08,88,100,25.65,25.65,25.65,25.65,1.91
14,Sao Geraldo do Araguaia,BR,3388760,-6.4,-48.55,56,77,27.87,27.87,27.87,27.87,1.81
15,Severo-Kurilsk,RU,2121385,50.68,156.12,56,100,-6.01,-6.01,-6.01,-6.01,5.21
16,Ushuaia,AR,3833367,-54.81,-68.31,90,65,8.65,9.0,8.0,8.5,1.91
17,Riberalta,BO,3906466,-11.0,-66.08,75,74,29.0,29.0,29.0,29.0,2.46
18,Norman Wells,CA,6089245,65.28,-126.83,75,61,-11.0,-11.0,-11.0,-11.0,4.91
19,Bluff,NZ,2206939,-46.6,168.33,44,77,13.89,13.89,13.89,13.89,0.45
20,Mar del Plata,AR,3863379,-46.43,-67.52,12,44,16.9,16.9,16.9,16.9,6.36
